,phrase,label,sentiment,subjectivity,language,count
6.44bn,6.44bn,MONEY,,,en,3
More than a million,More than a million,CARDINAL,,,en,3
Earth Hour,Earth Hour,TIME,,,en,3
Asian Cup,Asian Cup,EVENT,,,en,3
Zionism,Zionism,NORP,,,en,3
Mar 25,Mar 25,DATE,,,en,3
Feb. 28,Feb. 28,DATE,,,en,3
just over a month,just over a month,DATE,,,en,3
66,66,CARDINAL,,,en,3
Cubans,Cubans,NORP,,,en,3
Gen Z,Gen Z,PRODUCT,,,en,3
the Interwar Period (1919 to 1939,the Interwar Period (1919 to 1939,EVENT,,,en,2
about eight weeks,about eight weeks,DATE,,,en,2
"24,000","24,000",CARDINAL,,,en,2
nearly four years,nearly four years,DATE,,,en,2
the first quarter of 2026,the first quarter of 2026,DATE,,,en,2
"June 03, 2026 (GLOBE NEWSWIRE)","June 03, 2026 (GLOBE NEWSWIRE)",DATE,,,en,2
Chosen Family,Chosen Family,WORK_OF_ART,,,en,2
At least one,At least one,CARDINAL,,,en,2
"11,200,000","11,200,000",CARDINAL,,,en,2
ISIS,ISIS,WORK_OF_ART,,,en,2
2011-2024,2011-2024,DATE,,,en,2
"Around 20,000","Around 20,000",CARDINAL,,,en,2
13 years ago,13 years ago,DATE,,,en,2
£60 billion,£60 billion,MONEY,,,en,2
Pepeto,Pepeto,FAC,0.07500000000000001,0.31923076923076926,en,2
just 15 minutes,just 15 minutes,TIME,,,en,2
annual 'March,annual 'March,DATE,,,en,2
1912,1912,DATE,,,en,2
its second full day,its second full day,DATE,,,en,2
Istanbul Airport,Istanbul Airport,FAC,,,en,2
the Iran war curbs global supplies,the Iran war curbs global supplies,EVENT,,,en,2
"April 15, 2026","April 15, 2026",DATE,,,en,2
the coming days,the coming days,DATE,,,en,2
59,59,CARDINAL,,,en,2
the coming weeks,the coming weeks,DATE,,,en,2
Al-Aqsa Mosque,Al-Aqsa Mosque,FAC,,,en,2
half a year,half a year,DATE,,,en,2
1.4 million tons,1.4 million tons,QUANTITY,,,en,2
Thirteen,Thirteen,CARDINAL,,,en,2
six seasons,six seasons,DATE,,,en,2
11 April 2026,11 April 2026,DATE,,,en,2
20%,20%,PERCENT,,,en,2
This Sunday,This Sunday,DATE,,,en,2
the Portuguese Cup,the Portuguese Cup,EVENT,,,en,2
777-300ER,777-300ER,PRODUCT,,,en,2
Marines,Marines,NORP,,,en,2
They Will Kill You,They Will Kill You,WORK_OF_ART,,,en,2
Facebook,Facebook,PRODUCT,,,en,2
Türkiye,Türkiye,NORP,0.0028273809523809523,0.00854341736694678,en,2
Africa Day,Africa Day,EVENT,,,en,2
